,,,Away,,Away,,Away,,,
,,,0,,1,,2,,,
Period,Frame,Time [s],Player0,,Player1,,Player2,,Ball,
1,311,5.183333,0.709566,0.590631,0.66051,0.50021,0.554644,0.518069,nan,nan
1,312,5.2,0.711505,0.590727,0.661868,0.502855,0.555407,0.518516,nan,nan
1,313,5.216667,0.713444,0.590822,0.663227,0.5055,0.556171,0.518964,nan,nan
1,314,5.233333,0.715383,0.590918,0.664586,0.508145,0.556934,0.519411,nan,nan
1,315,5.25,0.717322,0.591014,0.665944,0.51079,0.557698,0.519859,nan,nan
1,316,5.266667,0.719261,0.59111,0.667303,0.513435,0.558462,0.520306,nan,nan
1,317,5.283333,0.7212,0.591205,0.668661,0.51608,0.559225,0.520754,nan,nan
1,318,5.3,0.723139,0.591301,0.67002,0.518725,0.559989,0.521201,nan,nan
1,319,5.316667,0.725078,0.591397,0.671379,0.52137,0.560753,0.521649,nan,nan
1,320,5.333333,0.726403,0.591235,0.672696,0.524224,0.561217,0.521648,nan,nan
1,321,5.35,0.727727,0.591074,0.674013,0.527078,0.561682,0.521647,nan,nan
1,322,5.366667,0.729052,0.590912,0.67533,0.529931,0.562146,0.521646,nan,nan
1,323,5.383333,0.730377,0.59075,0.676648,0.532785,0.562611,0.521644,nan,nan
1,324,5.4,0.731702,0.590589,0.677965,0.535639,0.563075,0.521643,nan,nan
1,325,5.416667,0.733027,0.590427,0.679282,0.538493,0.56354,0.521642,nan,nan
1,326,5.433333,0.734352,0.590266,0.680599,0.541346,0.564005,0.521641,nan,nan
1,327,5.45,0.735677,0.590104,0.681916,0.5442,0.564469,0.52164,nan,nan
1,328,5.466667,0.737001,0.589942,0.683234,0.547054,0.564934,0.521638,nan,nan
1,329,5.483333,0.738326,0.589781,0.684551,0.549907,0.565398,0.521637,nan,nan
1,330,5.5,0.739651,0.589619,0.685868,0.552761,0.565863,0.521636,nan,nan
1,331,5.516667,0.740976,0.589458,0.687185,0.555615,0.566327,0.521635,nan,nan
1,332,5.533333,0.742301,0.589296,0.688502,0.558468,0.566792,0.521634,nan,nan
1,333,5.55,0.743626,0.589134,0.689819,0.561322,0.567257,0.521633,nan,nan
1,334,5.566667,0.744951,0.588973,0.691137,0.564176,0.567721,0.521632,nan,nan
1,335,5.583333,0.746276,0.588811,0.692454,0.567029,0.568186,0.52163,nan,nan
