Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y
Home,,,1,346,5.766667,,,,,0.810698,0.643026,,
Home,,,1,347,5.783333,,,,,0.810286,0.644466,,
Home,,,1,348,5.8,,,,,0.809874,0.645906,,
Home,,,1,349,5.816667,,,,,0.809462,0.647346,,
Home,,,1,350,5.833333,,,,,0.80905,0.648785,,
Home,,,1,351,5.85,,,,,0.808658,0.650071,,
Home,,,1,352,5.866667,,,,,0.808265,0.651356,,
Home,,,1,353,5.883333,,,,,0.807873,0.652642,,
Home,,,1,354,5.9,,,,,0.80748,0.653927,,
Home,,,1,355,5.916667,,,,,0.807088,0.655213,,
Home,,,1,356,5.933333,,,,,0.806695,0.656498,,
Home,,,1,357,5.95,,,,,0.806303,0.657784,,
Home,,,1,358,5.966667,,,,,0.805339,0.657426,,
Home,,,1,359,5.983333,,,,,0.804376,0.657068,,
Home,,,1,360,6.0,,,,,0.803412,0.65671,,
Home,,,1,361,6.016667,,,,,0.802448,0.656352,,
Home,,,1,362,6.033333,,,,,0.801485,0.655994,,
Home,,,1,363,6.05,,,,,0.800111,0.659294,,
Home,,,1,364,6.066667,,,,,0.798736,0.662594,,
Home,,,1,365,6.083333,,,,,0.797362,0.665894,,
Home,,,1,366,6.1,,,,,0.795988,0.669193,,
Home,,,1,367,6.116667,,,,,0.794614,0.672493,,
Home,,,1,368,6.133333,,,,,0.79324,0.675792,,
Home,,,1,369,6.15,,,,,0.792727,0.67939,,
Home,,,1,370,6.166667,,,,,0.792213,0.682987,,
Home,,,1,371,6.183333,,,,,0.791699,0.686584,,
Home,,,1,372,6.2,,,,,0.791186,0.690182,,
Home,,,1,373,6.216667,,,,,0.791,0.69247,,
Home,,,1,374,6.233333,,,,,0.790813,0.694759,,
Home,,,1,375,6.25,,,,,0.790627,0.697048,,
Home,,,1,376,6.266667,,,,,0.790441,0.699337,,
Home,,,1,377,6.283333,,,,,0.790255,0.701625,,
Home,,,1,378,6.3,,,,,0.790069,0.703914,,
Home,,,1,379,6.316667,,,,,0.789883,0.706203,,
Home,,,1,380,6.333333,,,,,0.789697,0.708491,,
Home,,,1,381,6.35,,,,,0.789511,0.71078,,
Home,,,1,382,6.366667,,,,,0.789324,0.713068,,
Home,,,1,383,6.383333,,,,,0.789138,0.715357,,
Home,,,1,384,6.4,,,,,0.788702,0.716992,,
Home,,,1,385,6.416667,,,,,0.788265,0.718627,,
Home,,,1,386,6.433333,,,,,0.787828,0.720262,,
Home,,,1,387,6.45,,,,,0.787392,0.721897,,
Home,,,1,388,6.466667,,,,,0.786955,0.723532,,
Home,,,1,389,6.483333,,,,,0.786518,0.725167,,
Home,,,1,390,6.5,,,,,0.786082,0.726802,,
Home,,,1,391,6.516667,,,,,0.785645,0.728437,,
Home,,,1,392,6.533333,,,,,0.785208,0.730072,,
Home,,,1,393,6.55,,,,,0.784772,0.731706,,
Home,,,1,394,6.566667,,,,,0.784335,0.733341,,
Home,,,1,395,6.583333,,,,,0.783646,0.731288,,
Home,,,1,396,6.6,,,,,0.782957,0.729234,,
Home,,,1,397,6.616667,,,,,0.782267,0.727181,,
Home,,,1,398,6.633333,,,,,0.781578,0.725128,,
Home,,,1,399,6.65,,,,,0.780889,0.723074,,
Home,,,1,400,6.666667,,,,,0.7802,0.721021,,
Home,,,1,401,6.683333,,,,,0.77951,0.718967,,
Home,,,1,402,6.7,,,,,0.777902,0.713576,,
Home,,,1,403,6.716667,,,,,0.776293,0.708186,,
Home,,,1,404,6.733333,,,,,0.774684,0.702795,,
Home,,,1,405,6.75,,,,,0.773303,0.694706,,
Home,,,1,406,6.766667,,,,,0.771922,0.686618,,
Home,,,1,407,6.783333,,,,,0.773294,0.681221,,
Home,,,1,408,6.8,,,,,0.773523,0.680622,,
Home,,,1,409,6.816667,,,,,0.773751,0.680022,,
Home,,,1,410,6.833333,,,,,0.77398,0.679422,,
Home,,,1,411,6.85,,,,,0.774325,0.68122,,
Home,,,1,412,6.866667,,,,,0.774671,0.683017,,
Home,,,1,413,6.883333,,,,,0.775245,0.684514,,
Home,,,1,414,6.9,,,,,0.775819,0.686012,,
Home,,,1,415,6.916667,,,,,0.776393,0.687509,,
Home,,,1,416,6.933333,,,,,0.776968,0.689007,,
Home,,,1,417,6.95,,,,,0.777542,0.690504,,
Home,,,1,418,6.966667,,,,,0.778116,0.692001,,
Home,,,1,419,6.983333,,,,,0.779198,0.693284,,
Home,,,1,420,7.0,,,,,0.78028,0.694566,,
Home,,,1,421,7.016667,,,,,0.781362,0.695849,,
Home,,,1,422,7.033333,,,,,0.782444,0.697131,,
Home,,,1,423,7.05,,,,,0.783526,0.698414,,
Home,,,1,424,7.066667,,,,,0.784607,0.699696,,
Home,,,1,425,7.083333,,,,,0.785689,0.700979,,
Home,,,1,426,7.1,,,,,0.786301,0.701178,,
Home,,,1,427,7.116667,,,,,0.786912,0.701377,,
Home,,,1,428,7.133333,,,,,0.787524,0.701575,,
Home,,,1,429,7.15,,,,,0.788136,0.701774,,
Home,,,1,430,7.166667,,,,,0.788747,0.701973,,
Home,,,1,431,7.183333,,,,,0.789359,0.702172,,
Home,,,1,432,7.2,,,,,0.789971,0.70237,,
Home,,,1,433,7.216667,,,,,0.790582,0.702569,,
Home,,,1,434,7.233333,,,,,0.791194,0.702768,,
Home,,,1,435,7.25,,,,,0.791319,0.702931,,
Home,,,1,436,7.266667,,,,,0.791444,0.703095,,
Home,,,1,437,7.283333,,,,,0.791569,0.703258,,
Home,,,1,438,7.3,,,,,0.791695,0.703421,,
Home,,,1,439,7.316667,,,,,0.79182,0.703584,,
Home,,,1,440,7.333333,,,,,0.791945,0.703748,,
Home,,,1,441,7.35,,,,,0.79207,0.703911,,
Home,,,1,442,7.366667,,,,,0.792195,0.704074,,
Home,,,1,443,7.383333,,,,,0.792321,0.704237,,
Home,,,1,444,7.4,,,,,0.792446,0.704401,,
Home,,,1,445,7.416667,,,,,0.792571,0.704564,,
Home,,,1,446,7.433333,,,,,0.792813,0.703929,,
Home,,,1,447,7.45,,,,,0.793056,0.703294,,
Home,,,1,448,7.466667,,,,,0.793298,0.702659,,
Home,,,1,449,7.483333,,,,,0.793541,0.702024,,
Home,,,1,450,7.5,,,,,0.793783,0.701389,,
Home,,,1,451,7.516667,,,,,0.794025,0.700754,,
Home,,,1,452,7.533333,,,,,0.794268,0.700119,,
Home,,,1,453,7.55,,,,,0.79451,0.699484,,
Home,,,1,454,7.566667,,,,,0.794753,0.698849,,
Home,,,1,455,7.583333,,,,,0.794995,0.698214,,
Home,,,1,456,7.6,,,,,0.795237,0.697579,,
Home,,,1,457,7.616667,,,,,0.79548,0.696944,,
Home,,,1,458,7.633333,,,,,0.795722,0.696309,,
Home,,,1,459,7.65,,,,,0.795965,0.695674,,
Home,,,1,460,7.666667,,,,,0.796207,0.695039,,
Home,,,1,461,7.683333,,,,,0.79645,0.694404,,
Home,,,1,462,7.7,,,,,0.796692,0.693769,,
Home,,,1,463,7.716667,,,,,0.79683,0.694847,,
Home,,,1,464,7.733333,,,,,0.796969,0.695926,,
Home,,,1,465,7.75,,,,,0.797107,0.697005,,
Home,,,1,466,7.766667,,,,,0.797245,0.698083,,
Home,,,1,467,7.783333,,,,,0.797383,0.699162,,
Home,,,1,468,7.8,,,,,0.797336,0.699286,,
Home,,,1,469,7.816667,,,,,0.797289,0.69941,,
Home,,,1,470,7.833333,,,,,0.797241,0.699534,,
Home,,,1,471,7.85,,,,,0.797194,0.699658,,
Home,,,1,472,7.866667,,,,,0.797146,0.699782,,
Home,,,1,473,7.883333,,,,,0.797099,0.699906,,
Home,,,1,474,7.9,,,,,0.797052,0.700031,,
Home,,,1,475,7.916667,,,,,0.797004,0.700155,,
Home,,,1,476,7.933333,,,,,0.796957,0.700279,,
Home,,,1,477,7.95,,,,,0.79691,0.700403,,
Home,,,1,478,7.966667,,,,,0.796862,0.700527,,
Home,,,1,479,7.983333,,,,,0.796815,0.700651,,
Home,,,1,480,8.0,,,,,0.796767,0.700775,,
Home,,,1,481,8.016667,,,,,0.79672,0.700899,,
Home,,,1,482,8.033333,,,,,0.796673,0.701023,,
Home,,,1,483,8.05,,,,,0.796625,0.701147,,
Home,,,1,484,8.066667,,,,,0.796578,0.701271,,
Home,,,1,485,8.083333,,,,,0.796531,0.701395,,
Home,,,1,486,8.1,,,,,0.796483,0.70152,,
Home,,,1,487,8.116667,,,,,0.796436,0.701644,,
Home,,,1,488,8.133333,,,,,0.796389,0.701768,,
Home,,,1,489,8.15,,,,,0.796341,0.701892,,
Home,,,1,490,8.166667,,,,,0.796294,0.702016,,
Home,,,1,491,8.183333,,,,,0.796246,0.70214,,
Home,,,1,492,8.2,,,,,0.796199,0.702264,,
Home,,,1,493,8.216667,,,,,0.796152,0.702388,,
Home,,,1,494,8.233333,,,,,0.796104,0.702512,,
Home,,,1,495,8.25,,,,,0.796057,0.702636,,
Home,,,1,496,8.266667,,,,,0.79601,0.70276,,
Home,,,1,497,8.283333,,,,,0.796009,0.70227,,
Home,,,1,498,8.3,,,,,0.796009,0.70178,,
Home,,,1,499,8.316667,,,,,0.796009,0.701289,,
Home,,,1,500,8.333333,,,,,0.796008,0.700799,,
Home,,,1,501,8.35,,,,,0.796008,0.700308,,
Home,,,1,502,8.366667,,,,,0.796008,0.699818,,
Home,,,1,503,8.383333,,,,,0.796007,0.699328,,
Home,,,1,504,8.4,,,,,0.796007,0.698837,,
Home,,,1,505,8.416667,,,,,0.796007,0.698347,,
Home,,,1,506,8.433333,,,,,0.796007,0.697856,,
Home,,,1,507,8.45,,,,,0.796006,0.697366,,
Home,,,1,508,8.466667,,,,,0.797229,0.696964,,
Home,,,1,509,8.483333,,,,,0.798452,0.696563,,
Home,,,1,510,8.5,,,,,0.799675,0.696161,,
Home,,,1,511,8.516667,,,,,0.800898,0.69576,,
Home,,,1,512,8.533333,,,,,0.802121,0.695358,,
